TIME;0;1087;2147;3220;4296;5361;6431;7502;8571;9637;10347;10679
MEMORY;START;21;96;630;823;467;467;467;467;467;23;END
TIME;0;1081;2144;3221;4298;5362;6425;7491;8553;9628;10340;10670
MEMORY;START;28;193;854;822;467;467;465;467;467;23;END
TIME;0;1084;2145;3240;4299;5352;6416;7483;8546;9603;10057;10647
MEMORY;START;34;256;1121;822;463;467;467;467;467;23;END
TIME;0;1089;2164;3252;4329;5394;6455;7542;8610;9670;10335;10715
MEMORY;START;28;148;1128;822;467;467;467;467;467;23;END
TIME;0;1090;2153;3227;4306;5370;6443;7507;8566;9620;10184;10663
MEMORY;START;28;119;774;822;467;467;465;467;467;23;END
TIME;0;1090;2164;3242;4303;5361;6431;7489;8559;9625;10175;10667
MEMORY;START;21;179;811;822;467;467;467;467;467;23;END
TIME;0;1109;2172;3253;4309;5365;6441;7499;8560;9612;10031;10657
MEMORY;START;30;268;1216;467;467;467;467;467;467;23;END
TIME;0;1089;2155;3243;4299;5358;6419;7487;8543;9599;9873;10642
MEMORY;START;26;321;1216;467;467;467;467;467;467;23;END
TIME;0;1092;2154;3241;4300;5358;6423;7491;8561;9628;9980;10673
MEMORY;START;29;194;1216;822;467;467;467;467;467;23;END
TIME;0;1076;2144;3222;4277;5334;6400;7470;8526;9482;9559
MEMORY;START;28;347;925;467;467;467;467;467;23;END
