TIME;0;1062;2103;2847;3143
MEMORY;START;54;62;23;END
TIME;0;1062;2099;2820;3137
MEMORY;START;54;122;23;END
TIME;0;1088;2129;2719;3170
MEMORY;START;58;65;23;END
TIME;0;1077;2115;2896;3155
MEMORY;START;54;122;23;END
TIME;0;1067;2111;2926;3150
MEMORY;START;54;122;23;END
TIME;0;1076;2116;2995;3154
MEMORY;START;54;122;23;END
TIME;0;1076;2116;2810;3155
MEMORY;START;54;122;23;END
TIME;0;1081;2121;2881;3160
MEMORY;START;54;122;23;END
TIME;0;1063;2102;2848;3143
MEMORY;START;54;122;23;END
TIME;0;1067;2106;2885;3147
MEMORY;START;54;122;23;END
