TIME;0;1089;2152;3228;4302;5365;6440;7512;8575;9643;10415;10683
MEMORY;START;28;172;838;823;467;467;467;467;467;23;END
TIME;1;1088;2149;3231;4302;5365;6435;7505;8570;9633;10422;10676
MEMORY;START;28;137;791;822;463;467;467;467;467;23;END
TIME;0;1087;2167;3257;4329;5391;6458;7527;8592;9656;10127;10701
MEMORY;START;29;191;835;822;467;467;467;467;467;23;END
TIME;0;1088;2160;3246;4313;5374;6454;7519;8584;9653;10123;10697
MEMORY;START;29;242;1216;822;467;467;467;467;467;23;END
TIME;0;1088;2153;3238;4304;5381;6441;7504;8563;9632;10078;10676
MEMORY;START;29;194;1216;822;467;463;467;467;467;23;END
TIME;0;1102;2179;3264;4339;5407;6471;7533;8611;9680;10049;10724
MEMORY;START;21;240;1216;822;465;467;467;467;467;23;END
TIME;0;1089;2153;3231;4294;5354;6430;7499;8575;9629;9902;10675
MEMORY;START;28;227;1034;822;467;467;467;467;467;23;END
TIME;0;1088;2169;3242;4312;5380;6445;7509;8579;9638;10175;10682
MEMORY;START;29;166;846;822;467;467;467;467;467;23;END
TIME;0;1087;2150;3234;4309;5369;6444;7522;8587;9665;10457;10707
MEMORY;START;29;140;841;822;465;467;467;467;467;23;END
TIME;0;1080;2141;3227;4286;5348;6411;7477;8534;9600;10119;10644
MEMORY;START;30;315;1216;467;467;467;467;467;467;23;END
