TIME;0;1116;2147;3185;4218;5257;6293;7331;8494;9538;10575;11612;12686;13726;13973;14766
MEMORY;START;475;983;985;983;1623;1239;1239;1628;983;1239;1431;1239;1239;23;END
TIME;0;1079;2175;3212;4249;5458;6492;7528;8625;9680;10746;11782;12826;13871;14320;14911
MEMORY;START;470;985;984;983;1623;1239;1239;1623;1239;1239;1239;1239;983;23;END
TIME;0;1104;2136;3175;4211;5245;6281;7351;8441;9493;10532;11571;12675;13738;14066;14777
MEMORY;START;475;727;984;983;1623;1239;1239;1623;1239;1239;1239;1239;1239;23;END
TIME;0;1097;2130;3197;4234;5352;6395;7433;8472;9513;10567;11700;12743;13784;13909;14824
MEMORY;START;475;727;1239;983;1623;1239;983;1623;983;1244;1628;983;1239;23;END
TIME;0;1116;2151;3192;4228;5373;6410;7503;8557;9603;10649;11686;12723;13763;14188;14804
MEMORY;START;475;983;985;983;1623;1239;1239;1628;1244;1239;1239;983;983;23;END
TIME;0;1136;2236;3278;4316;5407;6441;7479;8541;9592;10633;11680;12800;13838;14158;14879
MEMORY;START;475;983;985;983;1623;1239;983;1628;1239;1239;983;1239;1239;23;END
TIME;0;1072;2142;3184;4217;5254;6295;7333;8425;9463;10507;11540;12577;13611;13692;14650
MEMORY;START;470;983;984;983;1623;1239;983;1239;983;983;1623;983;983;23;END
TIME;0;1138;2173;3217;4254;5331;6376;7423;8466;9580;10625;11665;12754;13794;14333;14834
MEMORY;START;475;983;984;983;1623;1239;1239;1431;1239;983;983;1244;1623;23;END
TIME;0;1138;2174;3216;4256;5331;6364;7402;8490;9539;10591;11661;12699;13734;13786;14775
MEMORY;START;475;727;985;983;1623;1239;983;1239;983;983;1623;983;727;23;END
TIME;0;1106;2139;3175;4210;5244;6279;7362;8534;9585;10648;11693;12747;13787;14210;14829
MEMORY;START;475;727;984;983;1623;1239;1239;1628;1244;1239;1239;1239;983;23;END
