TIME;0;1079;2121;2800;3161
MEMORY;START;54;62;23;END
TIME;1;1072;2117;2862;3156
MEMORY;START;54;122;23;END
TIME;0;1077;2121;2773;3161
MEMORY;START;54;62;23;END
TIME;0;1081;2120;2790;3160
MEMORY;START;54;62;23;END
TIME;0;1086;2129;2788;3170
MEMORY;START;54;62;23;END
TIME;0;1081;2125;2793;3167
MEMORY;START;54;62;23;END
TIME;0;1083;2120;2806;3160
MEMORY;START;54;122;23;END
TIME;0;1083;2129;3019;3167
MEMORY;START;54;122;23;END
TIME;0;1071;2116;3027;3154
MEMORY;START;54;122;23;END
TIME;0;1068;2105;2855;3146
MEMORY;START;54;122;23;END
