TIME;0;1087;2147;3220;4309;5373;6437;7505;8579;9642;10703;11775;11852;12819
MEMORY;START;22;57;493;823;463;467;467;467;469;467;467;23;END
TIME;0;1086;2147;3231;4305;5365;6437;7519;8585;9664;10096;10710
MEMORY;START;21;127;915;822;467;467;467;467;467;23;END
TIME;0;1087;2141;3212;4297;5370;6450;7514;8575;9647;10724;11787;11798;12832
MEMORY;START;20;42;456;997;467;463;467;467;467;467;463;23;END
TIME;0;1087;2156;3228;4306;5370;6435;7497;8579;9647;10730;11444;11775
MEMORY;START;21;83;484;826;467;467;467;467;467;467;23;END
TIME;0;1072;2137;3214;4293;5356;6435;7505;8565;9631;10701;11322;11746
MEMORY;START;25;112;722;822;467;467;467;463;473;467;23;END
TIME;0;1073;2138;3212;4290;5356;6432;7493;8575;9642;10718;11582;11762
MEMORY;START;23;186;879;822;467;467;467;467;467;467;23;END
TIME;0;1094;2156;3232;4311;5382;6449;7511;8590;9660;10723;11598;11767
MEMORY;START;21;118;487;824;467;467;467;467;467;467;23;END
TIME;0;1077;2143;3213;4290;5359;6420;7479;8539;9603;10679;11757;11872;12804
MEMORY;START;30;36;506;823;463;467;467;467;467;467;467;23;END
TIME;0;1100;2161;3237;4313;5377;6446;7503;8565;9631;10688;11639;11732
MEMORY;START;21;63;459;1077;467;467;468;467;467;463;23;END
TIME;0;1090;2151;3230;4307;5371;6442;7503;8565;9636;10714;11705;11760
MEMORY;START;23;123;492;823;463;467;467;467;467;467;23;END
