TIME;0;1082;1838;2132
MEMORY;START;28;23;END
TIME;0;1084;1802;2127
MEMORY;START;28;23;END
TIME;0;1087;1810;2139
MEMORY;START;32;23;END
TIME;0;1086;1736;2142
MEMORY;START;27;23;END
TIME;0;1066;1710;2110
MEMORY;START;27;23;END
TIME;0;1092;1799;2139
MEMORY;START;28;23;END
TIME;0;1079;1788;2123
MEMORY;START;32;23;END
TIME;0;1085;1737;2129
MEMORY;START;27;23;END
TIME;0;1081;1873;2131
MEMORY;START;20;23;END
TIME;0;1070;1712;2120
MEMORY;START;28;23;END
