TIME;0;1087;2137;3180;3938;4222
MEMORY;START;29;47;44;23;END
TIME;0;1101;2151;3193;4110;4234
MEMORY;START;29;45;44;23;END
TIME;0;1081;2130;3174;4069;4216
MEMORY;START;30;43;44;23;END
TIME;0;1087;2137;3180;4099;4223
MEMORY;START;22;50;44;23;END
TIME;0;1080;2122;3165;3892;4210
MEMORY;START;30;43;44;23;END
TIME;0;1087;2140;3181;4135;4224
MEMORY;START;30;50;44;23;END
TIME;0;1099;2144;3186;3925;4231
MEMORY;START;30;45;45;23;END
TIME;0;1086;2134;3178;4027;4220
MEMORY;START;22;50;44;23;END
TIME;0;1089;2138;3187;4066;4230
MEMORY;START;29;44;45;23;END
TIME;0;1088;2141;3187;3958;4231
MEMORY;START;22;46;44;23;END
