TIME;0;1084;2123;3156;4066;4194
MEMORY;START;28;280;791;23;END
TIME;0;1085;2172;3206;4013;4242
MEMORY;START;30;535;791;23;END
TIME;0;1136;2172;3211;4257;4404;5297
MEMORY;START;284;280;791;544;23;END
TIME;1;1167;2209;3282;4076;4321
MEMORY;START;277;279;791;23;END
TIME;0;1069;2121;3189;3993;4226
MEMORY;START;280;279;794;23;END
TIME;0;1079;2116;3148;4137;4183
MEMORY;START;21;280;791;23;END
TIME;0;1104;2146;3177;4211;4234;5253
MEMORY;START;277;281;791;280;23;END
TIME;1;1141;2182;3213;4249;4281;5288
MEMORY;START;277;280;791;544;23;END
TIME;0;1084;2123;3158;4006;4195
MEMORY;START;21;279;791;23;END
TIME;0;1094;2132;3166;4200;4228;5240
MEMORY;START;21;280;791;288;23;END
